1.766267490254445904e-02,4.239712337933915914e-02,6.891235301406405112e-02,2.130183518412508414e-01,8.643333739155638351e-02,9.683279471929423857e-03,3.174815289172294719e-01,2.430238909136498565e-02,2.201089619907214412e-01
1.128897482318137746e-02,1.013688333064190344e-01,3.452231884010202867e-01,2.387885289289159718e-01,4.365123193528967077e-02,6.572820201751841847e-03,1.245667654209634545e-01,1.783850084941713751e-02,1.107011561330412813e-01
7.593948314512103531e-03,3.526043739877992578e-01,1.448444539652975552e-02,2.170026095624802420e-02,1.892737952497363513e-02,2.595743026442459515e-03,5.438004954069023400e-01,1.444372946018764384e-02,2.384962392640474146e-02
1.773450730179650103e-02,1.263261096248453619e-01,5.032573738587702017e-02,3.611612063127568328e-01,7.645837218288822901e-02,7.174429327456949973e-03,1.588640733834864871e-01,2.757997674903062135e-02,1.743755877318619307e-01
1.050035689661447252e-02,2.607366782700147323e-01,1.540605424464582540e-01,1.688479767053203684e-01,1.176441248418793883e-01,6.558788736552186721e-03,1.931732989565874969e-01,4.866796926663112532e-02,3.981026387994212462e-02
4.395026348824632167e-01,5.271099256976871650e-02,1.147831436148194321e-02,8.807492967984673071e-02,2.769595986894521356e-02,5.822012752786289574e-03,1.928247407080886100e-01,1.334731678154029988e-01,4.841724736121613692e-02
5.726525607181310110e-03,1.704491390644997939e-02,1.370252319092916601e-02,8.916165352240787989e-01,1.644337817994863740e-02,2.569359208993583950e-03,3.072798377980932166e-02,6.972624388805738656e-03,1.519615651380362871e-02
9.103345492207408629e-01,2.551777551738824198e-03,6.261355738533387573e-04,2.672797612147598430e-03,1.735905410141813350e-03,4.191496682658955170e-02,3.265023432015469549e-03,8.043865005942131205e-03,2.885497936683054793e-02
3.475461329291548024e-03,6.530052034031174311e-03,3.438398502546455467e-03,3.536809071725143753e-03,7.054568460273862203e-03,9.442343016481310469e-01,5.506192910362344567e-03,2.214973504549009459e-02,4.074480998148243861e-03
1.087687051002177580e-01,5.785144871191402749e-02,2.404391458035227275e-02,4.085345877217803207e-02,5.940301539500406763e-02,3.638319904653082859e-01,1.267480545403858183e-01,1.993156884482227553e-01,1.918372398641712828e-02
7.113722985231229340e-03,3.303263462454665567e-02,6.405814003860608175e-01,6.280499794341032338e-02,3.051292523548771590e-02,4.556890420377714482e-03,3.735905823338228626e-02,1.301839952509811944e-02,1.710199706464051173e-01
3.149941015032203199e-03,5.755319462944883009e-03,9.713185433874503838e-01,4.288781318216367509e-03,5.982654078574108601e-03,1.331447162939876361e-03,3.667746062133819731e-03,1.743568248850257485e-03,2.761999263858091417e-03
1.526406639246367589e-02,1.102952911435789163e-01,2.038702961403412173e-01,1.232050008007753161e-01,6.878619130043846230e-02,8.368280658045660139e-03,1.574811334107159566e-01,1.869678499045635683e-02,2.940329551631843952e-01
6.409883833777311850e-03,3.167077250811210255e-03,1.092814558459695050e-03,1.346399069416038966e-03,1.649377322915790076e-03,9.553907593679820121e-01,6.296952826937765417e-03,2.345675271895198213e-02,1.189983050747939848e-03
2.099584195401916348e-02,6.895891554795947898e-02,3.764402336050323011e-02,1.189978544403391819e-01,1.489521874948231961e-01,9.964659556438635463e-03,1.433860941289524793e-01,1.739453228006146990e-01,2.771551007163498004e-01
1.648691624910518863e-02,8.991756642137069266e-02,1.169817293734479596e-01,2.281523676426287506e-01,8.945441736573336855e-02,9.613730307063177855e-03,2.137999784308435569e-01,3.209233912551149454e-02,2.035009550842958315e-01
3.001469110366795576e-02,2.219968488628530079e-01,4.821239536069182874e-02,1.458856154611108125e-01,6.888922450919400531e-02,8.847775163233194753e-03,3.361916516932559884e-01,1.062254677272214121e-01,3.373633011877170268e-02
1.043911471357130034e-02,2.283873273778661353e-02,1.319195093805135555e-01,5.728514357940677620e-02,3.045082338166460109e-02,6.121075276890207070e-03,6.285737018301915113e-02,2.488386996767294815e-02,6.532043607794748574e-01
1.806583081779527394e-02,1.116098169107331006e-01,5.600404698525808522e-02,1.110528234692169380e-01,9.356082416943674318e-02,1.377274737998317178e-02,2.237068187492097515e-01,3.144591622693552191e-01,5.776792924901180681e-02
